type,locality,latitude,longitude,lease_type,negotiable,furnishing,parking,property_size,property_age,bathroom,facing,cup_board,floor,total_floor,water_supply,building_type,balconies,rent,lift,gym,internet,ac,club,intercom,pool,cpa,fs,servant,security,sc,gp,park,rwh,stp,hk,pb,vp,activation_day,activation_month,activation_year,Total_amenities
BHK2,"Kadubeesanahalli,",12.9336504,77.7022315,FAMILY,1,SEMI_FURNISHED,BOTH,1484,1.0,2.0,N,1.0,1.0,4.0,CORPORATION,AP,1.0,22000.0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,13,7,2017,15
BHK2,Sanjeevini Nagar,12.97182324,77.52198776,FAMILY,1,SEMI_FURNISHED,NONE,500,10.0,1.0,N,2.0,2.0,2.0,CORP_BORE,IF,0.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,6,2018,0
BHK2,Doddanekundi,12.97372627,77.70822144,ANYONE,0,SEMI_FURNISHED,BOTH,1200,5.0,2.0,W,2.0,2.0,4.0,CORPORATION,AP,1.0,19500.0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,24,6,2018,6
BHK2,Whitefield,12.95963193,77.74794814,ANYONE,0,FULLY_FURNISHED,BOTH,1300,8.0,2.0,S,2.0,1.0,1.0,CORPORATION,IH,2.0,25000.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,25,5,2018,3
RK1,Indiranagar,12.97235646,77.64366828,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,250,10.0,1.0,E,1.0,0.0,2.0,CORPORATION,IF,0.0,11000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,24,4,2018,4
BHK3,Mahadevapura,12.99151617,77.70293323,ANYONE,1,FULLY_FURNISHED,BOTH,1860,5.0,3.0,NE,5.0,14.0,20.0,CORPORATION,AP,3.0,48000.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,16,7,2017,17
RK1,Brookefield,12.96146892,77.71904367,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,250,0.0,1.0,N,1.0,3.0,3.0,CORPORATION,IF,0.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,6,2018,3
BHK2,New Tippasandra,12.98220154,77.64837989,ANYONE,0,SEMI_FURNISHED,BOTH,972,0.0,2.0,E,5.0,2.0,3.0,CORPORATION,AP,3.0,31000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,4,2018,3
BHK3,JP Nagar 1st Phase,12.91085303,77.57827029,FAMILY,1,SEMI_FURNISHED,BOTH,1050,15.0,2.0,E,4.0,1.0,2.0,BOREWELL,AP,1.0,20000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,2,2017,2
BHK2,Vimanapura,12.96254812,77.68155776,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,850,1.0,2.0,N,2.0,2.0,2.0,CORPORATION,IF,1.0,19000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,8,2018,3
BHK2,Jayanagar,12.9297994,77.58953323,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1050,10.0,1.0,E,3.0,2.0,3.0,CORP_BORE,IF,0.0,16000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,5,2018,2
BHK2,Uttarahalli Hobli,12.9076634,77.54547321,FAMILY,1,SEMI_FURNISHED,BOTH,1175,0.0,2.0,N,3.0,4.0,5.0,CORP_BORE,AP,2.0,20000.0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,24,2,2018,14
BHK3,Kaikondrahalli,12.91615213,77.67418514,ANYONE,1,FULLY_FURNISHED,BOTH,1876,1.0,3.0,N,5.0,3.0,9.0,CORPORATION,AP,4.0,50000.0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,25,7,2017,8
BHK2,Kaggadasapura,12.97217341,77.65388683,ANYONE,1,SEMI_FURNISHED,BOTH,750,5.0,1.0,E,2.0,0.0,0.0,CORPORATION,IH,0.0,12000.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,28,7,2017,2
BHK2,Adugodi,12.94366081,77.60393738,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,900,12.0,1.0,N,2.0,2.0,2.0,CORP_BORE,IF,1.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,28,1,2018,4
BHK3,Jayanagar 5th Block,12.92394273,77.5839551,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,1200,10.0,2.0,N,4.0,1.0,1.0,BOREWELL,IF,1.0,30000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,26,3,2018,4
BHK2,Hanumantha Nagar,12.9425468,77.5625781,FAMILY,1,SEMI_FURNISHED,BOTH,900,7.0,2.0,S,3.0,0.0,1.0,CORPORATION,IF,0.0,18000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,6,2017,2
BHK2,Basaveshwar Nagar,12.98905751,77.54061036,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1100,9.0,2.0,N,5.0,3.0,3.0,CORP_BORE,IF,1.0,14000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26,5,2018,1
BHK2,Kasavanahalli,12.90771214,77.68045842,FAMILY,0,SEMI_FURNISHED,FOUR_WHEELER,1230,0.0,2.0,E,2.0,2.0,3.0,BOREWELL,AP,2.0,21000.0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,22,1,2018,15
BHK3,Thirumalashettyhally,12.9834759,77.7755112,ANYONE,1,SEMI_FURNISHED,BOTH,1435,0.0,2.0,E,4.0,0.0,4.0,CORPORATION,AP,3.0,20000.0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,3,7,2018,13
BHK1,BTM Layout,12.91627014,77.60292892,FAMILY,0,NOT_FURNISHED,TWO_WHEELER,400,10.0,1.0,E,0.0,0.0,1.0,CORP_BORE,IF,0.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,2018,0
BHK2,Chikkalasandra,12.91717561,77.54679294,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,8.0,2.0,E,2.0,1.0,2.0,CORP_BORE,IF,0.0,12500.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,2017,1
BHK3,"Yelachenahallli, Bengaluru, Karnataka, India",12.9004037,77.5712556,ANYONE,1,SEMI_FURNISHED,BOTH,1360,2.0,3.0,E,3.0,2.0,3.0,CORP_BORE,AP,1.0,17000.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,7,2017,2
RK1,Indiranagar,12.97448255,77.63312254,BACHELOR,0,SEMI_FURNISHED,TWO_WHEELER,120,5.0,1.0,SE,1.0,3.0,3.0,CORP_BORE,IF,0.0,8000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,12,2017,2
BHK1,Wilson Garden,12.94858457,77.60159785,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,650,10.0,1.0,E,1.0,1.0,3.0,CORP_BORE,IF,1.0,9000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,4,2018,1
BHK2,Gattigere,12.91875984,77.525182,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,900,5.0,2.0,N,2.0,1.0,3.0,CORP_BORE,IF,0.0,13500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,2018,0
BHK2,Ejipura,12.93816505,77.62890921,FAMILY,1,SEMI_FURNISHED,BOTH,1172,16.0,2.0,E,2.0,0.0,4.0,CORP_BORE,AP,1.0,35000.0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,19,1,2018,11
BHK1,Vijaya Nagar,12.9661428,77.5490677,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,225,8.0,1.0,E,1.0,2.0,2.0,CORPORATION,IF,1.0,8400.0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,13,2,2018,4
BHK2,Whitefield,12.96712395,77.73769691,FAMILY,0,SEMI_FURNISHED,BOTH,1100,4.0,2.0,N,2.0,4.0,4.0,BOREWELL,AP,2.0,17000.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,6,4,2018,6
BHK2,Byrasandra,12.9804965,77.6673131,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1200,4.0,2.0,N,2.0,0.0,0.0,CORPORATION,IH,0.0,15000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,2017,1
BHK3,Kadugodi,12.99866239,77.75588273,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1500,3.0,3.0,E,4.0,1.0,2.0,CORP_BORE,IF,2.0,23000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,28,9,2017,3
BHK2,BTM 2nd Stage,12.90715158,77.60636501,ANYONE,1,FULLY_FURNISHED,BOTH,1250,5.0,2.0,E,3.0,1.0,4.0,CORP_BORE,AP,1.0,21000.0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,7,8,2018,5
BHK2,Vignana Nagar,12.9733535,77.68011402,ANYONE,1,SEMI_FURNISHED,BOTH,1440,7.0,2.0,W,6.0,5.0,5.0,CORP_BORE,AP,3.0,24000.0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,17,1,2018,10
BHK2,Tippasandra,12.97163272,77.66302467,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1000,5.0,2.0,E,1.0,2.0,2.0,CORPORATION,IF,1.0,13000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,2018,0
BHK2,Bellandur,12.9206798,77.6741922,ANYONE,1,SEMI_FURNISHED,BOTH,1465,8.0,2.0,E,2.0,5.0,9.0,BOREWELL,AP,2.0,32000.0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,27,9,2017,15
BHK2,Sheshadripuram,12.99414863,77.57818577,FAMILY,0,FULLY_FURNISHED,TWO_WHEELER,900,5.0,2.0,NE,3.0,2.0,3.0,CORP_BORE,AP,2.0,22000.0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,1,7,9,2018,12
BHK3,Cox Town,12.99365373,77.62774695,FAMILY,1,NOT_FURNISHED,BOTH,1500,1.0,3.0,S,0.0,2.0,2.0,CORPORATION,AP,4.0,30000.0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24,6,2018,3
BHK3,Doddanakundi,12.9785885,77.6974294,ANYONE,0,SEMI_FURNISHED,BOTH,2250,12.0,2.0,E,2.0,5.0,5.0,CORP_BORE,IF,3.0,42000.0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,4,8,2018,6
BHK3,Banashankari,12.92514892,77.56440586,FAMILY,1,SEMI_FURNISHED,BOTH,1900,10.0,2.0,E,2.0,0.0,2.0,CORP_BORE,IF,2.0,33000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,4,2018,2
BHK2,J P Nagar,12.91195143,77.58976879,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,600,6.0,1.0,E,1.0,2.0,2.0,CORPORATION,IF,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,20,10,2017,3
BHK2,Whitefield,12.97628941,77.74130369,FAMILY,0,SEMI_FURNISHED,BOTH,1348,2.0,2.0,E,2.0,1.0,5.0,BOREWELL,AP,2.0,26000.0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,6,2017,17
BHK1,Kodihalli,12.9626001,77.646453,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,600,5.0,1.0,W,1.0,0.0,2.0,CORP_BORE,IF,2.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,2018,1
RK1,Kodihalli,12.96226809,77.64653183,FAMILY,0,FULLY_FURNISHED,NONE,200,1.0,1.0,W,1.0,4.0,5.0,BOREWELL,AP,1.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,2017,1
BHK1,Shivananda Nagar,12.97077706,77.66487749,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,500,4.0,1.0,E,1.0,1.0,1.0,CORPORATION,IF,1.0,9000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2018,1
BHK1,Marathahalli,12.95278487,77.69357444,ANYONE,0,SEMI_FURNISHED,TWO_WHEELER,400,0.0,1.0,N,1.0,2.0,4.0,CORP_BORE,IF,0.0,10000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,8,6,2017,3
BHK1,Prashant Nagar,12.97562498,77.53205003,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,600,1.0,1.0,E,1.0,1.0,4.0,CORPORATION,IH,1.0,9500.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,30,7,2018,3
BHK1,Kasavanahalli,12.90418272,77.67574502,FAMILY,0,SEMI_FURNISHED,TWO_WHEELER,800,3.0,1.0,N,3.0,2.0,3.0,CORP_BORE,IF,1.0,9500.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,6,2018,2
BHK2,HSR Layout,12.90481193,77.64045129,FAMILY,1,SEMI_FURNISHED,BOTH,1150,1.0,2.0,E,1.0,0.0,2.0,BOREWELL,IF,0.0,16000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,4,2018,3
BHK2,Whitefield,12.9669841,77.7407821,FAMILY,1,FULLY_FURNISHED,BOTH,1194,1.0,2.0,E,3.0,4.0,4.0,CORP_BORE,AP,2.0,26000.0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,19,5,2018,11
BHK2,Marathahalli,12.95315697,77.70973516,ANYONE,1,SEMI_FURNISHED,BOTH,1500,5.0,2.0,E,1.0,2.0,4.0,CORPORATION,IF,4.0,16000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,9,2018,2
BHK3,Dooravani Nagar,12.9996889,77.6662679,ANYONE,1,SEMI_FURNISHED,BOTH,1590,1.0,3.0,W,10.0,4.0,10.0,CORP_BORE,AP,1.0,40000.0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,0,22,7,2018,11
BHK1,Koramangala,12.93617649,77.62077816,FAMILY,1,NOT_FURNISHED,TWO_WHEELER,450,5.0,1.0,E,1.0,0.0,2.0,CORPORATION,IF,0.0,14000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,12,2017,1
BHK3,"Laxmi Sagar Layout,Mahadevapura",12.9884164,77.6895542,FAMILY,1,FULLY_FURNISHED,BOTH,1431,5.0,2.0,N,2.0,9.0,14.0,CORP_BORE,AP,2.0,38000.0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,4,3,2018,15
BHK1,HSR Layout,12.91850814,77.64740614,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,448,5.0,1.0,N,1.0,3.0,3.0,CORPORATION,IF,0.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,25,7,2018,3
BHK2,Raja Rajeshwari Nagar,12.91952785,77.51145074,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1250,5.0,2.0,N,2.0,1.0,2.0,CORPORATION,IF,1.0,10500.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,3,2017,1
BHK2,"Pulkeshi Nagar,Pulikeshi Nagar",12.9954943,77.6067362,ANYONE,1,SEMI_FURNISHED,TWO_WHEELER,1250,20.0,2.0,W,2.0,1.0,5.0,CORP_BORE,AP,3.0,23000.0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,7,2018,5
BHK2,Jayanagar,12.9355631,77.5894514,ANYONE,1,SEMI_FURNISHED,BOTH,750,25.0,2.0,N,4.0,0.0,5.0,CORPORATION,AP,1.0,23000.0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,12,6,2017,6
BHK2,Domlur,12.95673189,77.64242111,BACHELOR,1,SEMI_FURNISHED,TWO_WHEELER,800,5.0,2.0,E,4.0,1.0,2.0,CORPORATION,IF,1.0,20000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2018,1
BHK1,RR Nagar,12.91873071,77.5016751,FAMILY,0,SEMI_FURNISHED,BOTH,550,0.0,1.0,E,1.0,4.0,4.0,CORP_BORE,IF,1.0,9000.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,2018,2
BHK3,HSR Layout,12.91786381,77.64512062,ANYONE,1,SEMI_FURNISHED,BOTH,2100,8.0,3.0,E,3.0,1.0,2.0,CORP_BORE,IF,1.0,40000.0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,17,12,2017,4
BHK1,Srirampura,12.99590611,77.56461881,FAMILY,1,SEMI_FURNISHED,NONE,450,0.0,1.0,E,1.0,0.0,2.0,CORPORATION,IH,1.0,8000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,23,7,2018,2
BHK2,Chikkalasandra,12.90873405,77.54837381,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,1500,16.0,2.0,E,1.0,1.0,2.0,CORP_BORE,IF,0.0,9500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2018,0
BHK2,Basaveshwar Nagar,12.98312615,77.53809247,FAMILY,1,SEMI_FURNISHED,TWO_WHEELER,800,8.0,2.0,E,2.0,2.0,2.0,CORP_BORE,IF,1.0,14000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,2017,1
BHK1,Sudhama Nagar,12.95346356,77.59302909,ANYONE,1,SEMI_FURNISHED,NONE,700,1.0,1.0,S,1.0,2.0,2.0,CORP_BORE,IF,1.0,12000.0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,22,8,2017,4
BHK1,Kadugodi,12.9948372,77.76300687,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,750,0.0,1.0,N,1.0,0.0,3.0,CORP_BORE,IH,1.0,8000.0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,21,6,2018,3
BHK2,Nagondanahalli,12.9701443,77.7668229,FAMILY,1,SEMI_FURNISHED,FOUR_WHEELER,1175,1.0,2.0,N,2.0,3.0,3.0,BOREWELL,AP,1.0,17000.0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,7,8,2018,13
BHK2,Bommanahalli,12.9049439,77.6193591,FAMILY,1,SEMI_FURNISHED,BOTH,1251,3.0,2.0,E,2.0,3.0,5.0,BOREWELL,AP,3.0,20000.0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,7,3,2018,14
